# BUSCO version is: 5.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of species: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Missing
1173229at2759	Complete	scaffold_3346	278	1480	+	107.5	188
1178688at2759	Complete	scaffold_1082	5569	6251	-	78.9	133
1182451at2759	Complete	scaffold_61	14576	15500	+	120.1	155
1193442at2759	Missing
1194691at2759	Fragmented	scaffold_3864	388	1440	-	170.3	164
1194797at2759	Missing
1197019at2759	Missing
1200489at2759	Complete	scaffold_285	6489	7322	-	88.7	93
1217666at2759	Complete	scaffold_1461	686	1920	+	215.0	178
1220881at2759	Fragmented	scaffold_2883	16	724	-	59.4	59
1222562at2759	Fragmented	scaffold_907	5909	6955	+	124.9	103
1223488at2759	Complete	scaffold_2224	1765	2456	+	60.0	78
1228942at2759	Fragmented	scaffold_2508	588	1153	+	122.3	96
1233814at2759	Fragmented	scaffold_1287	123	356	-	57.2	59
1236198at2759	Complete	scaffold_49	13381	14211	-	168.2	122
1247641at2759	Missing
1248958at2759	Complete	scaffold_839	4876	7326	-	278.5	558
1249159at2759	Complete	scaffold_252	709	1296	+	128.9	166
1251252at2759	Complete	scaffold_1716	3437	4293	-	48.8	75
1257440at2759	Complete	scaffold_2416	1262	2470	-	147.2	127
1258856at2759	Fragmented	scaffold_2135	334	2046	+	212.0	356
1259741at2759	Fragmented	scaffold_2144	562	1158	-	247.2	137
1260807at2759	Complete	scaffold_3438	758	1594	+	238.4	220
1264469at2759	Complete	scaffold_306	10420	11533	-	122.7	141
1266231at2759	Complete	scaffold_602	1922	3066	-	249.7	187
1269244at2759	Fragmented	scaffold_201	9385	10210	-	40.1	62
1269649at2759	Complete	scaffold_106	6301	7071	-	253.5	166
1275837at2759	Complete	scaffold_2644	1127	2460	+	357.5	243
1284731at2759	Complete	scaffold_2303	1316	2559	-	90.9	125
1287094at2759	Fragmented	scaffold_622	7432	7791	-	42.7	92
1287401at2759	Complete	scaffold_46	12877	13458	+	218.3	161
1291729at2759	Complete	scaffold_2640	109	1235	-	44.1	82
1304061at2759	Complete	scaffold_1993	2159	3406	+	150.5	127
1309031at2759	Fragmented	scaffold_2910	1133	2416	-	115.6	250
1312453at2759	Missing
1314980at2759	Complete	scaffold_3001	27	2105	-	197.2	344
1322299at2759	Complete	scaffold_1753	1793	3298	+	268.6	280
1322642at2759	Complete	scaffold_100	5507	6828	+	173.1	155
1323575at2759	Fragmented	scaffold_4410	649	840	-	70.7	57
1324510at2759	Complete	scaffold_1031	4169	5958	+	216.9	267
1338131at2759	Complete	scaffold_1645	1196	1886	+	246.0	133
1339553at2759	Fragmented	scaffold_1836	3046	3626	-	46.3	72
1342242at2759	Missing
1346165at2759	Fragmented	scaffold_4113	250	1157	-	253.5	161
1346432at2759	Complete	scaffold_2225	1565	2495	-	109.5	137
1348942at2759	Missing
1355894at2759	Complete	scaffold_1918	1732	3372	+	154.9	131
1358374at2759	Complete	scaffold_329	5539	7139	-	256.3	199
1364586at2759	Complete	scaffold_3344	355	1216	+	69.2	130
1370285at2759	Missing
1370304at2759	Fragmented	scaffold_261	7495	7704	+	36.2	33
1377237at2759	Fragmented	scaffold_4371	919	1053	+	35.6	35
1379600at2759	Complete	scaffold_25	11741	14560	-	198.0	443
1380409at2759	Complete	scaffold_2889	762	1831	-	130.9	127
1382842at2759	Fragmented	scaffold_2030	1730	3289	-	75.2	99
1395649at2759	Fragmented	scaffold_3418	69	545	-	29.1	84
1398309at2759	Complete	scaffold_2298	1145	1759	+	46.0	77
1404162at2759	Complete	scaffold_500	2034	2912	+	109.3	190
1405073at2759	Complete	scaffold_301	4041	5104	+	204.0	156
1405146at2759	Complete	scaffold_937	5425	6397	+	73.3	110
1407446at2759	Complete	scaffold_99	8075	8681	+	20.4	102
1421503at2759	Complete	scaffold_1131	3869	4644	-	182.7	109
1423847at2759	Complete	scaffold_694	2276	3456	-	200.0	232
1426075at2759	Fragmented	scaffold_1628	1147	1746	+	59.8	52
1428265at2759	Complete	scaffold_228	7215	7976	+	118.2	162
1428854at2759	Complete	scaffold_2070	767	3324	+	281.2	345
1430056at2759	Complete	scaffold_3413	178	1450	-	55.2	92
1432328at2759	Complete	scaffold_2729	196	1445	+	234.4	176
1434266at2759	Fragmented	scaffold_2663	292	1776	+	34.8	82
1440961at2759	Fragmented	scaffold_972	1069	1278	+	28.5	49
1441854at2759	Complete	scaffold_137	5542	6824	-	208.4	204
1442062at2759	Fragmented	scaffold_1625	3591	4241	-	30.0	92
1445102at2759	Fragmented	scaffold_2447	131	1619	-	225.7	160
1450538at2759	Fragmented	scaffold_346	603	1374	+	91.4	117
1454155at2759	Complete	scaffold_1017	5310	6289	-	47.1	84
1455730at2759	Fragmented	scaffold_3227	277	1581	+	289.0	268
1459797at2759	Complete	scaffold_3117	1051	1784	-	61.5	96
1474000at2759	Complete	scaffold_120	9578	10141	-	69.3	120
1479417at2759	Complete	scaffold_153	7759	8973	-	272.7	170
1488235at2759	Complete	scaffold_4458	104	954	+	158.3	140
1488436at2759	Complete	scaffold_1382	4366	5110	+	107.0	62
1490022at2759	Fragmented	scaffold_1836	1149	2104	+	110.8	141
1504863at2759	Complete	scaffold_464	5309	6115	-	143.2	110
1513531at2759	Complete	scaffold_1737	2279	3564	-	189.9	189
1525971at2759	Complete	scaffold_1430	4292	5016	-	104.8	78
1526152at2759	Missing
1530008at2759	Fragmented	scaffold_927	3626	3925	+	79.3	80
1538526at2759	Complete	scaffold_253	719	1363	-	76.9	92
1545004at2759	Complete	scaffold_427	1770	2139	+	57.4	58
1552706at2759	Missing
1558822at2759	Fragmented	scaffold_361	7778	8290	+	86.1	57
1563319at2759	Fragmented	scaffold_1013	3081	3688	+	34.0	96
1567796at2759	Complete	scaffold_2686	1241	2448	+	125.6	112
1575179at2759	Complete	scaffold_1864	1247	1695	-	14.5	41
1576404at2759	Fragmented	scaffold_1000	2391	2838	-	110.0	95
1588798at2759	Missing
1593937at2759	Missing
1617752at2759	Fragmented	scaffold_2744	190	861	-	84.0	63
1620056at2759	Complete	scaffold_193	12831	13596	+	47.6	73
1623701at2759	Complete	scaffold_91	11106	11581	+	110.4	82
1626636at2759	Fragmented	scaffold_4158	651	875	+	49.6	50
1633672at2759	Complete	scaffold_384	5101	5754	+	131.7	82
1645187at2759	Complete	scaffold_3784	468	848	-	54.4	40
