,GO term,Gene Count,P-value,Category
115,intracellular transport,4,0.0123374983734751,BP
116,RNA modification,0,0.0190522819743462,BP
117,cellular component organization or biogenesis,13,0.0218000741206638,BP
118,carbohydrate derivative metabolic process,4,0.0224949149547912,BP
119,RNA splicing,0,0.0226747665949795,BP
120,amino acid activation,0,0.0269813646791675,BP
121,cell cycle,0,0.0321003973254536,BP
122,generation of precursor metabolites and energy,0,0.0350110979587765,BP
123,chromatin organization,0,0.0381840913886141,BP
124,peptidyl-amino acid modification,0,0.041642866522117,BP
125,intracellular membrane-bounded organelle,1,2.42300187748873e-12,CC
126,membrane-bounded organelle,2,1.3907739628211e-11,CC
127,intracellular anatomical structure,25,3.68218723745661e-09,CC
128,nucleus,1,1.65804335497883e-06,CC
129,intracellular organelle,18,3.61177436644653e-06,CC
130,nuclear protein-containing complex,0,7.70048434510198e-05,CC
131,protein-containing complex,18,8.67209718405877e-05,CC
132,organelle,22,9.12307626367803e-05,CC
133,intracellular protein-containing complex,0,0.000332345677716986,CC
134,ribosome,0,0.000709353272406941,CC
135,membrane-enclosed lumen,0,0.0036609709119582,CC
136,intracellular organelle lumen,0,0.0036609709119582,CC
137,organelle membrane,1,0.00424937840610942,CC
138,transferase complex,0,0.00491475859773843,CC
139,mitochondrion,0,0.00820577008853587,CC
140,endomembrane system,1,0.00934748712161376,CC
141,ribonucleoprotein complex,0,0.0126973706224542,CC
142,chromosome,0,0.0126973706224542,CC
143,organelle envelope,0,0.013652254185525,CC
144,envelope,0,0.013652254185525,CC
145,cytoplasm,12,0.0221634831055675,CC
146,endoplasmic reticulum,0,0.0431419643589702,CC
147,nucleic acid binding,12,1.47796222413474e-09,MF
148,RNA binding,1,1.16532714526509e-05,MF
149,structural constituent of ribosome,0,8.25898188159974e-05,MF
150,structural molecule activity,1,0.000105963218936711,MF
151,"catalytic activity, acting on RNA",1,0.000712926400334341,MF
152,"catalytic activity, acting on a tRNA",0,0.00327132503646846,MF
153,ligase activity,1,0.00330584343976112,MF
154,DNA binding,6,0.010934595182177,MF
155,"ligase activity, forming carbon-oxygen bonds",0,0.0251611596462592,MF
156,heterocyclic compound binding,77,0.0342598927340526,MF
157,organic cyclic compound binding,77,0.0342598927340526,MF
