# BUSCO version is: 5.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of species: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
551907at2759	Fragmented	scaffold_3780	159	1463	+	102.0	243
570797at2759	Fragmented	scaffold_818	5283	6371	+	47.5	185
582756at2759	Complete	scaffold_399	3166	5078	-	125.7	308
598949at2759	Missing
604979at2759	Fragmented	scaffold_1939	437	1672	-	288.7	208
621827at2759	Missing
625387at2759	Complete	scaffold_1075	782	1825	+	107.1	195
655400at2759	Complete	scaffold_82	8931	10231	-	212.4	236
664730at2759	Fragmented	scaffold_2920	1251	2164	+	424.2	244
671536at2759	Fragmented	scaffold_856	1870	3036	-	368.2	225
671846at2759	Missing
673132at2759	Complete	scaffold_861	4649	5922	+	112.2	198
674160at2759	Fragmented	scaffold_568	6950	7960	-	158.5	274
674169at2759	Missing
679187at2759	Complete	scaffold_413	124	2220	-	258.1	372
679771at2759	Missing
687505at2759	Missing
692986at2759	Missing
708105at2759	Complete	scaffold_3218	308	1821	-	109.8	189
719531at2759	Complete	scaffold_52	2553	3993	-	261.3	203
720340at2759	Fragmented	scaffold_5335	1	549	+	100.3	112
721605at2759	Complete	scaffold_277	568	2289	+	267.5	265
722805at2759	Missing
734341at2759	Fragmented	scaffold_767	1451	2300	-	51.9	98
734666at2759	Complete	scaffold_565	921	2468	+	396.7	376
736068at2759	Fragmented	scaffold_1962	84	1723	+	148.5	222
751335at2759	Fragmented	scaffold_1013	238	929	-	159.1	140
759498at2759	Fragmented	scaffold_4490	40	1144	-	202.5	184
761109at2759	Missing
768809at2759	Complete	scaffold_109	7135	9116	-	214.5	233
774318at2759	Fragmented	scaffold_471	4645	5269	-	147.9	117
777920at2759	Fragmented	scaffold_793	1948	2961	-	199.5	225
779909at2759	Missing
801857at2759	Fragmented	scaffold_555	5863	7064	+	154.1	139
814241at2759	Fragmented	scaffold_669	3644	4870	+	56.5	168
817008at2759	Complete	scaffold_1113	2314	4167	-	455.4	296
834694at2759	Complete	scaffold_69	2243	3484	-	204.3	238
836599at2759	Complete	scaffold_1436	2051	3646	-	359.3	322
844748at2759	Fragmented	scaffold_3580	125	1443	-	118.8	220
855834at2759	Fragmented	scaffold_2897	1001	2181	-	122.7	195
858842at2759	Complete	scaffold_1779	1371	3310	-	213.6	331
865202at2759	Missing
866359at2759	Missing
869548at2759	Fragmented	scaffold_144	546	1624	+	113.6	127
878143at2759	Missing
887370at2759	Complete	scaffold_140	40	2670	+	201.9	335
891751at2759	Complete	scaffold_1706	2044	2869	+	185.8	179
898782at2759	Missing
901894at2759	Complete	scaffold_984	2429	4275	+	173.2	322
905026at2759	Missing
911863at2759	Fragmented	scaffold_5323	168	380	-	78.9	60
917326at2759	Complete	scaffold_15	8192	10194	+	354.0	389
918816at2759	Missing
919955at2759	Complete	scaffold_1602	1928	3445	+	178.5	291
923657at2759	Fragmented	scaffold_4436	406	1037	-	60.6	98
924753at2759	Complete	scaffold_3483	108	1119	+	156.0	214
931188at2759	Fragmented	scaffold_108	13332	14752	-	173.1	182
937275at2759	Fragmented	scaffold_2657	868	1122	-	55.8	56
937686at2759	Complete	scaffold_2475	370	2381	+	370.4	326
939345at2759	Missing
944899at2759	Complete	scaffold_1661	1618	2580	+	274.9	242
946128at2759	Fragmented	scaffold_1072	525	1887	-	146.8	238
956854at2759	Missing
973442at2759	Fragmented	scaffold_603	5719	5979	+	42.6	45
974865at2759	Complete	scaffold_1384	2699	3980	+	193.4	226
975158at2759	Missing
975557at2759	Fragmented	scaffold_636	1392	3154	-	311.8	270
976469at2759	Missing
981902at2759	Fragmented	scaffold_292	6192	6904	-	61.4	91
996662at2759	Complete	scaffold_3035	109	1695	+	183.6	199
1001705at2759	Complete	scaffold_797	2423	3556	+	84.9	219
1003258at2759	Fragmented	scaffold_1161	34	1212	-	171.2	242
1010730at2759	Complete	scaffold_1681	133	1270	+	361.1	259
1014314at2759	Missing
1018517at2759	Complete	scaffold_393	4853	6402	+	265.1	205
1019762at2759	Missing
1025450at2759	Complete	scaffold_558	2963	4327	+	212.8	280
1030907at2759	Complete	scaffold_2874	407	1909	+	128.8	230
1032689at2759	Complete	scaffold_3189	387	1840	-	182.6	147
1038775at2759	Missing
1041560at2759	Fragmented	scaffold_2014	84	560	+	102.1	123
1049599at2759	Missing
1051021at2759	Complete	scaffold_591	1878	4373	+	209.5	266
1053181at2759	Complete	scaffold_25	20757	21481	+	35.9	130
1057950at2759	Complete	scaffold_47	13586	14852	+	164.9	201
1065019at2759	Complete	scaffold_167	984	2516	+	245.0	245
1076134at2759	Fragmented	scaffold_1108	4134	5218	-	167.5	133
1079130at2759	Fragmented	scaffold_3225	1140	1881	-	126.6	86
1079827at2759	Complete	scaffold_1385	124	1115	+	343.3	202
1085752at2759	Complete	scaffold_2087	1756	2843	-	159.0	215
1087488at2759	Complete	scaffold_73	13472	14928	-	102.9	241
1090038at2759	Fragmented	scaffold_2563	35	599	-	86.8	62
1094121at2759	Missing
1096688at2759	Complete	scaffold_1867	2241	3338	-	303.3	211
1106766at2759	Complete	scaffold_425	389	2412	+	115.7	200
1107630at2759	Missing
1108845at2759	Complete	scaffold_802	773	3119	-	416.3	327
1111142at2759	Missing
1112002at2759	Complete	scaffold_3026	54	2052	-	421.5	460
1115196at2759	Complete	scaffold_125	492	1857	+	295.4	282
1128607at2759	Complete	scaffold_1294	830	1828	+	324.2	251
1129824at2759	Missing
1138059at2759	Fragmented	scaffold_5425	5	322	+	74.3	61
1157302at2759	Fragmented	scaffold_2937	14	860	+	153.5	110
1161199at2759	Missing
1173229at2759	Complete	scaffold_2911	552	1754	+	107.5	188
1178688at2759	Complete	scaffold_49	12166	12848	-	78.9	133
1182451at2759	Complete	scaffold_1056	3041	3965	-	120.1	155
1193442at2759	Fragmented	scaffold_512	1095	2024	-	136.8	203
1194691at2759	Complete	scaffold_1200	2315	4024	-	342.6	283
1194797at2759	Missing
1197019at2759	Missing
1200489at2759	Complete	scaffold_335	4581	5414	+	88.7	93
1217666at2759	Complete	scaffold_148	7589	8822	+	215.0	178
1220881at2759	Fragmented	scaffold_1889	1019	1557	-	59.4	59
1222562at2759	Missing
1223488at2759	Complete	scaffold_1918	445	1136	+	60.0	78
1228942at2759	Complete	scaffold_298	5594	6728	-	177.1	162
1233814at2759	Complete	scaffold_893	1123	1887	-	98.3	153
1236198at2759	Complete	scaffold_1413	1854	2684	-	168.2	122
1247641at2759	Missing
1248958at2759	Complete	scaffold_617	5200	7650	-	278.5	558
1249159at2759	Complete	scaffold_492	3417	4004	+	128.9	166
1251252at2759	Fragmented	scaffold_730	1321	2863	-	46.7	63
1257440at2759	Complete	scaffold_2457	669	1877	+	147.2	127
1258856at2759	Missing
1259741at2759	Fragmented	scaffold_2111	134	730	-	247.2	137
1260807at2759	Complete	scaffold_923	4296	5132	-	238.4	220
1264469at2759	Complete	scaffold_1884	2244	3357	-	122.7	141
1266231at2759	Missing
1269244at2759	Complete	scaffold_517	3159	4377	+	52.6	99
1269649at2759	Missing
1275837at2759	Complete	scaffold_1599	1335	2668	+	357.5	243
1284731at2759	Fragmented	scaffold_4999	88	240	-	30.6	37
1287094at2759	Fragmented	scaffold_281	9143	9767	-	45.8	81
1287401at2759	Complete	scaffold_2115	884	1465	+	218.3	161
1291729at2759	Complete	scaffold_1328	296	1366	+	44.1	82
1304061at2759	Fragmented	scaffold_4032	102	881	+	95.7	91
1309031at2759	Fragmented	scaffold_2678	488	2068	-	157.2	230
1312453at2759	Missing
1314980at2759	Complete	scaffold_343	3449	5527	+	197.2	344
1322299at2759	Missing
1322642at2759	Complete	scaffold_73	4865	6185	+	173.1	155
1323575at2759	Missing
1324510at2759	Complete	scaffold_869	213	2001	+	216.9	267
1338131at2759	Complete	scaffold_2545	1193	1884	+	246.0	133
1339553at2759	Missing
1342242at2759	Fragmented	scaffold_1591	3754	3996	-	73.3	68
1346165at2759	Complete	scaffold_949	4198	5676	-	327.2	220
1346432at2759	Complete	scaffold_1998	542	1472	+	109.5	137
1348942at2759	Missing
1355894at2759	Complete	scaffold_96	14278	15303	-	101.0	122
1358374at2759	Complete	scaffold_405	3822	5422	+	256.3	199
1364586at2759	Complete	scaffold_72	14896	15757	+	69.2	130
1370285at2759	Missing
1370304at2759	Fragmented	scaffold_269	4212	4421	-	36.2	33
1377237at2759	Missing
1379600at2759	Fragmented	scaffold_455	1950	3359	-	158.4	269
1380409at2759	Missing
1382842at2759	Missing
1395649at2759	Missing
1398309at2759	Complete	scaffold_2210	1078	1692	+	46.0	77
1404162at2759	Complete	scaffold_1722	1695	2573	-	109.3	190
1405073at2759	Fragmented	scaffold_663	2	734	+	158.3	105
1405146at2759	Complete	scaffold_760	5472	6444	+	73.3	110
1407446at2759	Missing
1421503at2759	Missing
1423847at2759	Complete	scaffold_1360	24	976	-	185.1	191
1426075at2759	Complete	scaffold_1484	360	1536	-	94.3	89
1428265at2759	Complete	scaffold_226	4166	4907	+	117.6	162
1428854at2759	Complete	scaffold_1645	683	3240	-	281.2	345
1430056at2759	Complete	scaffold_648	283	1555	+	55.2	92
1432328at2759	Complete	scaffold_281	6359	7608	-	234.4	176
1434266at2759	Missing
1440961at2759	Fragmented	scaffold_986	141	350	-	28.5	49
1441854at2759	Complete	scaffold_3696	53	810	-	114.1	136
1442062at2759	Fragmented	scaffold_3062	472	1122	+	30.0	92
1445102at2759	Missing
1450538at2759	Fragmented	scaffold_334	132	1657	+	75.4	115
1454155at2759	Missing
1455730at2759	Missing
1459797at2759	Complete	scaffold_3467	388	1380	-	61.5	96
1474000at2759	Complete	scaffold_41	13727	14290	-	69.3	120
1479417at2759	Complete	scaffold_2426	1666	2644	-	223.3	143
1488235at2759	Complete	scaffold_4384	150	1000	-	158.3	140
1488436at2759	Complete	scaffold_1713	210	954	-	107.0	62
1490022at2759	Fragmented	scaffold_76	11400	12355	+	110.8	141
1504863at2759	Complete	scaffold_177	9514	10320	+	143.2	110
1513531at2759	Missing
1525971at2759	Complete	scaffold_432	4901	5629	-	104.8	78
1526152at2759	Complete	scaffold_1435	1924	2775	+	98.9	85
1530008at2759	Fragmented	scaffold_989	4758	5057	+	79.3	80
1538526at2759	Complete	scaffold_1163	108	745	-	99.6	97
1545004at2759	Fragmented	scaffold_2425	1030	1158	+	50.4	40
1552706at2759	Missing
1558822at2759	Fragmented	scaffold_1694	744	1256	+	86.1	57
1563319at2759	Complete	scaffold_1810	2893	3637	+	66.3	120
1567796at2759	Complete	scaffold_468	5193	6912	+	125.6	112
1575179at2759	Missing
1576404at2759	Fragmented	scaffold_878	244	732	-	110.0	95
1588798at2759	Complete	scaffold_486	1199	2730	-	78.3	117
1593937at2759	Missing
1617752at2759	Fragmented	scaffold_1614	928	1757	-	84.0	63
1620056at2759	Complete	scaffold_563	6664	7366	-	47.6	73
1623701at2759	Complete	scaffold_194	3309	3784	-	110.4	82
1626636at2759	Fragmented	scaffold_3091	358	582	-	49.6	50
1633672at2759	Complete	scaffold_3111	441	1094	+	131.7	82
1645187at2759	Fragmented	scaffold_5376	1	330	-	48.1	28
